Date,Centre_Name,Commodity_Name,Price
12/12/1997,CHENNAI,Wheat,10.5
12/12/1997,HYDERABAD,Wheat,8.5
15/12/1997,DELHI,Wheat,6.5
15/12/1997,SHIMLA,Wheat,NA
15/12/1997,LUCKNOW,Wheat,5
15/12/1997,AHMEDABAD,Wheat,7.5
15/12/1997,BHOPAL,Wheat,6.5
15/12/1997,MUMBAI,Wheat,9.5
15/12/1997,JAIPUR,Wheat,6
15/12/1997,PATNA,Wheat,6
15/12/1997,BHUBANESHWAR,Wheat,7.5
15/12/1997,KOLKATA,Wheat,7
15/12/1997,GUWAHATI,Wheat,NA
15/12/1997,SHILLONG,Wheat,8
15/12/1997,AIZWAL,Wheat,NA
15/12/1997,AGARTALA,Wheat,NA
15/12/1997,BENGALURU,Wheat,NA
15/12/1997,T.PURAM,Wheat,11
15/12/1997,CHENNAI,Wheat,10.5
15/12/1997,HYDERABAD,Wheat,8.5
16/12/1997,DELHI,Wheat,6.5
16/12/1997,SHIMLA,Wheat,NA
16/12/1997,LUCKNOW,Wheat,5
16/12/1997,AHMEDABAD,Wheat,7.5
16/12/1997,BHOPAL,Wheat,6.5
16/12/1997,MUMBAI,Wheat,9
16/12/1997,JAIPUR,Wheat,6
16/12/1997,PATNA,Wheat,6
16/12/1997,BHUBANESHWAR,Wheat,7.5
16/12/1997,KOLKATA,Wheat,7
16/12/1997,GUWAHATI,Wheat,NA
16/12/1997,SHILLONG,Wheat,8
16/12/1997,AIZWAL,Wheat,NA
16/12/1997,AGARTALA,Wheat,NA
16/12/1997,BENGALURU,Wheat,10
16/12/1997,T.PURAM,Wheat,11
16/12/1997,CHENNAI,Wheat,10.5
16/12/1997,HYDERABAD,Wheat,8.5
17/12/1997,DELHI,Wheat,6.5
17/12/1997,SHIMLA,Wheat,NA
17/12/1997,LUCKNOW,Wheat,6
17/12/1997,AHMEDABAD,Wheat,7.8
17/12/1997,BHOPAL,Wheat,6.5
17/12/1997,MUMBAI,Wheat,9
17/12/1997,JAIPUR,Wheat,6
17/12/1997,PATNA,Wheat,6
17/12/1997,BHUBANESHWAR,Wheat,7.5
17/12/1997,KOLKATA,Wheat,7
17/12/1997,GUWAHATI,Wheat,NA
17/12/1997,SHILLONG,Wheat,8
17/12/1997,AIZWAL,Wheat,NA
17/12/1997,AGARTALA,Wheat,NA
17/12/1997,BENGALURU,Wheat,9
17/12/1997,T.PURAM,Wheat,11
17/12/1997,CHENNAI,Wheat,10.5
17/12/1997,HYDERABAD,Wheat,8.5
18/12/1997,DELHI,Wheat,6.5
18/12/1997,SHIMLA,Wheat,NA
18/12/1997,LUCKNOW,Wheat,6
18/12/1997,AHMEDABAD,Wheat,7.8
18/12/1997,BHOPAL,Wheat,6.5
18/12/1997,MUMBAI,Wheat,9
18/12/1997,JAIPUR,Wheat,6
18/12/1997,PATNA,Wheat,6
18/12/1997,BHUBANESHWAR,Wheat,8
18/12/1997,KOLKATA,Wheat,7
18/12/1997,GUWAHATI,Wheat,NA
18/12/1997,SHILLONG,Wheat,8
18/12/1997,AIZWAL,Wheat,NA
18/12/1997,AGARTALA,Wheat,NA
18/12/1997,BENGALURU,Wheat,9
18/12/1997,T.PURAM,Wheat,11
18/12/1997,CHENNAI,Wheat,10.5
18/12/1997,HYDERABAD,Wheat,8.5
19/12/1997,DELHI,Wheat,6.5
19/12/1997,SHIMLA,Wheat,NA
19/12/1997,LUCKNOW,Wheat,6
